UZ.09.601276	Shumanay Tumani	Shumanay Tumani	601276
UZ.09.601292	Nukus Tumani	Nukus Tumani	601292
UZ.09.601301	Mo’ynoq Tumani	Mo'ynoq Tumani	601301
UZ.09.601309	Qanliko‘l Tumani	Qanliko'l Tumani	601309
UZ.09.601322	Qo‘ng‘irot Tumani	Qo'ng'irot Tumani	601322
UZ.09.601340	Xo‘jayli Tumani	Xo'jayli Tumani	601340
UZ.09.601347	Kegeyli Tumani	Kegeyli Tumani	601347
UZ.09.601394	Chimboy Tumani	Chimboy Tumani	601394
UZ.09.601398	Bo‘zatov Tumani	Bo`zatov Tumani	601398
UZ.15.1215692	Zomin Tumani	Zomin Tumani	1215692
UZ.08.1215766	Yakkabog‘ Tumani	Yakkabog' Tumani	1215766
UZ.02.1215788	Vobkent Tumani	Vobkent Tumani	1215788
UZ.08.1215811	Usmon Yusupov Tumani	Usmon Yusupov Tumani	1215811
UZ.10.1215838	Urgut Tumani	Urgut Tumani	1215838
UZ.08.1215855	Kasbi Tumani	Kasbi Tumani	1215855
UZ.02.1215958	Termiz Tumani	Termiz Tumani	1215958
UZ.02.1216048	Jondor Tumani	Jondor Tumani	1216048
UZ.10.1216079	Nurobod Tumani	Nurobod Tumani	1216079
UZ.12.1216113	Sho‘rchi Tumani	Sho'rchi Tumani	1216113
UZ.12.1216154	Sherobod Tumani	Sherobod Tumani	1216154
UZ.08.1216186	Shahrisabz Tumani	Shahrisabz Tumani	1216186
UZ.12.1216243	Sariosiyo Tumani	Sariosiyo Tumani	1216243
UZ.10.1216266	Samarqand Tumani	Samarqand Tumani	1216266
UZ.02.1216289	Romiton Tumani	Romiton Tumani	1216289
UZ.10.1216337	Payariq Tumani	Payariq Tumani	1216337
UZ.10.1216341	Pastdarg‘om Tumani	Pastdarg`om Tumani	1216341
UZ.10.1216354	Paxtachi Tumani	Paxtachi Tumani	1216354
UZ.08.1216399	Nishon Tumani	Nishon Tumani	1216399
UZ.10.1216429	Narpay Tumani	Narpay Tumani	1216429
UZ.08.1216474	Muborak Tumani	Muborak Tumani	1216474
UZ.12.1216571	Qiziriq Tumani	Qiziriq Tumani	1216571
UZ.07.1216582	Qiziltepa Tumani	Qiziltepa Tumani	1216582
UZ.12.1216685	Qumqŭrghon Tumani	Qumqurghon Tumani	1216685
UZ.08.1216786	Kitob Tumani	Kitob Tumani	1216786
UZ.10.1216987	Kattaqo‘rg‘on Tumani	Kattaqo`rg`on Tumani	1216987
UZ.08.1217005	Koson Tumani	Koson Tumani	1217005
UZ.08.1217013	Qarshi Tumani	Qarshi Tumani	1217013
UZ.02.1217081	Qorakŭl Tumani	Qorakul Tumani	1217081
UZ.08.1217142	Qamashi Tumani	Qamashi Tumani	1217142
UZ.02.1217179	Kogon Tumani	Kogon Tumani	1217179
UZ.10.1217214	Ishtixon Tumani	Ishtixon Tumani	1217214
UZ.08.1217259	G‘uzor Tumani	G`uzor Tumani	1217259
UZ.15.1217334	G‘allaorol Tumani	G`allaorol Tumani	1217334
UZ.12.1217341	Muzrabod Tumani	Muzrabod Tumani	1217341
UZ.12.1217391	Jarqo‘rg‘on Tumani	Jarqo`rg`on Tumani	1217391
UZ.10.1217412	Jomboy Tumani	Jomboy Tumani	1217412
UZ.12.1217476	Denov Tumani	Denov Tumani	1217476
UZ.08.1217479	Dehqonobod Tumani	Dehqonobod Tumani	1217479
UZ.08.1217538	Chiroqchi Tumani	Chiroqchi Tumani	1217538
UZ.10.1217655	Bulung‘ur Tumani	Bulung`ur Tumani	1217655
UZ.02.1217663	Bukhoro Tumani	Bukhoro Tumani	1217663
UZ.12.1217733	Boysun Tumani	Boysun Tumani	1217733
UZ.15.1217778	Baxmal Tumani	Baxmal Tumani	1217778
UZ.12.1217872	Angor Tumani	Angor Tumani	1217872
UZ.12.1217894	Oltinsoy Tumani	Oltinsoy Tumani	1217894
UZ.02.1217905	Olot Tumani	Olot Tumani	1217905
UZ.10.1217960	Oqdaryo Tumani	Oqdaryo Tumani	1217960
UZ.02.1346433	Qorovulbozor Tumani	Qorovulbozor Tumani	1346433
UZ.02.1346437	Kogon Shahri	Kogon Shahri	1346437
UZ.10.1346451	Chelak Tumani	Chelak Tumani	1346451
UZ.10.1346455	Go`zalkent Tumani	Go`zalkent Tumani	1346455
UZ.10.1346462	Toyloq Tumani	Toyloq Tumani	1346462
UZ.10.1346463	Samarqand Shahri	Samarqand Shahri	1346463
UZ.10.1346465	Oqtosh Shahri	Oqtosh Shahri	1346465
UZ.10.1346467	Urgut Shahri	Urgut Shahri	1346467
UZ.08.1346479	Mirishkor Tumani	Mirishkor Tumani	1346479
UZ.08.1346481	Qarshi Shahri	Qarshi Shahri	1346481
UZ.12.1346497	Uzun Tumani	Uzun Tumani	1346497
UZ.12.1346534	Bandikhon Tumani	Bandikhon Tumani	1346534
UZ.12.1346536	Termiz Shahri	Termiz Shahri	1346536
UZ.12.1346537	Denov Shahri	Denov Shahri	1346537
UZ.15.1512277	Zarbdor Tumani	Zarbdor Tumani	1512277
UZ.06.1512289	Mingbuloq Tumani	Mingbuloq Tumani	1512289
UZ.03.1512318	Yozyovon Tumani	Yozyovon Tumani	1512318
UZ.06.1512349	Yangiqo‘rg‘on Tumani	Yangiqo`rg`on Tumani	1512349
UZ.05.1512360	Yangibozor Tumani	Yangibozor Tumani	1512360
UZ.05.1512367	Yangiariq Tumani	Yangiariq Tumani	1512367
UZ.16.1512404	Sayhunobod Tumani	Sayhunobod Tumani	1512404
UZ.03.1512439	O‘zbekiston Tumani	O`zbekiston Tumani	1512439
UZ.06.1512448	Uychi Tumani	Uychi Tumani	1512448
UZ.05.1512467	Urganch Tumani	Urganch Tumani	1512467
UZ.06.1512500	Uchqŭrghon Tumani	Uchqurghon Tumani	1512500
UZ.07.1512504	Uchkuduk District	Uchkuduk District	1512504
UZ.09.1512534	To‘rtko‘l Tumani	To`rtko`l Tumani	1512534
UZ.06.1512548	Tŭraqŭrghon Tumani	Turaqurghon Tumani	1512548
UZ.03.1512646	Toshloq Tumani	Toshloq Tumani	1512646
UZ.14.1512652	Toshkent Tumani	Toshkent Tumani	1512652
UZ.07.1512673	Tomdi Tumani	Tomdi Tumani	1512673
UZ.09.1512698	Taxtako‘pir Tumani	Taxtako'pir Tumani	1512698
UZ.16.1512717	Sirdaryo Tumani	Sirdaryo Tumani	1512717
UZ.14.1512751	Ŭrta Chirchiq Tumani	Urta Chirchiq Tumani	1512751
UZ.05.1512818	Shovot Tumani	Shovot Tumani	1512818
UZ.02.1512837	Shofirkon Tumani	Shofirkon Tumani	1512837
UZ.13.1512848	Sirg’ali Tumani	Sirg'ali Tumani	1512848
UZ.13.1512949	Olmazor Tumani	Olmazor Tumani	1512949
UZ.03.1512956	Rishton Tumani	Rishton Tumani	1512956
UZ.14.1512985	Piskent Tumani	Piskent Tumani	1512985
UZ.02.1513006	Peshku Tumani	Peshku Tumani	1513006
UZ.14.1513016	Parkent Tumani	Parkent Tumani	1513016
UZ.06.1513021	Pop Tumani	Pop Tumani	1513021
UZ.15.1513035	Paxtakor Tumani	Paxtakor Tumani	1513035
UZ.01.1513039	Pakhtaobod Tumani	Pakhtaobod Tumani	1513039
UZ.14.1513057	Qibray Tumani	Qibray Tumani	1513057
UZ.13.1513066	Shayxontohur Tumani	Shayxontohur Tumani	1513066
UZ.15.1513067	Zafarobod Tumani	Zafarobod Tumani	1513067
UZ.07.1513082	Nurota Tumani	Nurota Tumani	1513082
UZ.07.1513133	Navoiy Tumani	Navoiy Tumani	1513133
UZ.07.1513135	Navbahor Tumani	Navbahor Tumani	1513135
UZ.06.1513144	Norin Tumani	Norin Tumani	1513144
UZ.06.1513156	Namangan Tumani	Namangan Tumani	1513156
UZ.01.1513193	Shahrikhon Tumani	Shahrikhon Tumani	1513193
UZ.15.1513202	Mirzachŭl Tumani	Mirzachul Tumani	1513202
UZ.01.1513240	Marhamat Tumani	Marhamat Tumani	1513240
UZ.13.1513269	Mirobod Tumani	Mirobod Tumani	1513269
UZ.01.1513270	Asaka Tumani	Asaka Tumani	1513270
UZ.03.1513272	Uchko‘prik Tumani	Uchko'prik Tumani	1513272
UZ.13.1513328	Mirzo Ulug‘bek Tumani	Mirzo Ulug`bek Tumani	1513328
UZ.03.1513329	Quva Tumani	Quva Tumani	1513329
UZ.01.1513363	Qŭrghontepa Tumani	Qurghontepa Tumani	1513363
UZ.10.1513472	Qo‘shrabot Tumani	Qo`shrabot Tumani	1513472
UZ.05.1513477	Qo’shko’pir Tumani	Qo'shko'pir Tumani	1513477
UZ.16.1513490	Mirzaobod Tumani	Mirzaobod Tumani	1513490
UZ.01.1513493	Ulug‘nor Tumani	Ulug`nor Tumani	1513493
UZ.14.1513498	Yuqori Chirchiq Tumani	Yuqori Chirchiq Tumani	1513498
UZ.13.1513546	Yunusobod Tumani	Yunusobod Tumani	1513546
UZ.03.1513547	Beshariq Tumani	Beshariq Tumani	1513547
UZ.01.1513598	Khŭjaobod Tumani	Khujaobod Tumani	1513598
UZ.05.1513603	Xiva Tumani	Xiva Tumani	1513603
UZ.05.1513610	Hazorasp Tumani	Hazorasp Tumani	1513610
UZ.16.1513618	Khovos Tumani	Khovos Tumani	1513618
UZ.07.1513622	Xatirchi Tumani	Xatirchi Tumani	1513622
UZ.05.1513635	Xonqa Tumani	Xonqa Tumani	1513635
UZ.13.1513648	Yashnobod Tumani	Yashnobod Tumani	1513648
UZ.06.1513713	Kosonsoy Tumani	Kosonsoy Tumani	1513713
UZ.09.1513732	Qorao‘zak Tumani	Qorao'zak Tumani	1513732
UZ.07.1513830	Konimex Tumani	Konimex Tumani	1513830
UZ.14.1513860	Zangiota Tumani	Zangiota Tumani	1513860
UZ.01.1513888	Izboskan Tumani	Izboskan Tumani	1513888
UZ.16.1513952	Sharof-Rashidow Tumani	Sharof-Rashidow Tumani	1513952
UZ.05.1513961	Gurlan Tumani	Gurlan Tumani	1513961
UZ.16.1513967	Guliston Tumani	Guliston Tumani	1513967
UZ.02.1513982	Ghijduwon Tumani	Ghijduwon Tumani	1513982
UZ.14.1514010	Quyi Chirchiq Tumani	Quyi Chirchiq Tumani	1514010
UZ.03.1514016	Dang‘ara Tumani	Dang`ara Tumani	1514016
UZ.03.1514017	Farg‘ona Tumani	Farg`ona Tumani	1514017
UZ.15.1514024	Forish Tumani	Forish Tumani	1514024
UZ.09.1514037	Ellikqala Tumani	Ellikqala Tumani	1514037
UZ.15.1514068	Jizzax Tumani	Jizzax Tumani	1514068
UZ.01.1514108	Jalolkuduk Tumani	Jalolkuduk Tumani	1514108
UZ.15.1514124	Dŭstlik Tumani	Dustlik Tumani	1514124
UZ.06.1514190	Chust Tumani	Chust Tumani	1514190
UZ.14.1514214	Chinoz Tumani	Chinoz Tumani	1514214
UZ.13.1514229	Chilonzor Tumani	Chilonzor Tumani	1514229
UZ.03.1514299	Buvayda Tumani	Buvayda Tumani	1514299
UZ.14.1514327	Bŭka Tumani	Buka Tumani	1514327
UZ.01.1514336	Bo‘z Tumani	Bo`z Tumani	1514336
UZ.14.1514338	Bŭstonliq Tumani	Bustonliq Tumani	1514338
UZ.09.1514386	Beruniy Tumani	Beruniy Tumani	1514386
UZ.14.1514399	Bekobod Tumani	Bekobod Tumani	1514399
UZ.16.1514430	Boyowut Tumani	Boyowut Tumani	1514430
UZ.01.1514451	Baliqchi Tumani	Baliqchi Tumani	1514451
UZ.03.1514482	Bag‘dod Tumani	Bag`dod Tumani	1514482
UZ.05.1514485	Boghot Tumani	Boghot Tumani	1514485
UZ.15.1514555	Arnasoy Tumani	Arnasoy Tumani	1514555
UZ.01.1514584	Andijon Tumani	Andijon Tumani	1514584
UZ.09.1514593	Amudaryo Tumani	Amudaryo Tumani	1514593
UZ.01.1514606	Oltinkŭl Tumani	Oltinkul Tumani	1514606
UZ.03.1514616	Oltiariq Tumani	Oltiariq Tumani	1514616
UZ.13.1514665	Uchtepa Tumani	Uchtepa Tumani	1514665
UZ.14.1514667	Oqqŭrghon Tumani	Oqqurghon Tumani	1514667
UZ.03.1514681	Oxunboboyev Tumani	Oxunboboyev Tumani	1514681
UZ.14.1514687	Ohangaron Tumani	Ohangaron Tumani	1514687
UZ.16.1514705	Oqoltin Tumani	Oqoltin Tumani	1514705
UZ.13.1536760	Bektemir Tumani	Bektemir Tumani	1536760
UZ.13.1536761	Yakkasaroy Tumani	Yakkasaroy Tumani	1536761
UZ.05.1538226	Urganch Shahri	Urganch Shahri	1538226
UZ.05.1538227	Pitnak Shahri	Pitnak Shahri	1538227
UZ.05.1538228	Khiwa Shahri	Khiwa Shahri	1538228
UZ.02.1538236	G’ijduvon Tumani	G'ijduvon Tumani	1538236
UZ.15.1538240	Jizzax Shahri	Jizzax Shahri	1538240
UZ.16.1538246	Mehnatobod Tumani	Mehnatobod Tumani	1538246
UZ.16.1538249	Guliston Shahri	Guliston Shahri	1538249
UZ.16.1538250	Sirdaryo Shahri	Sirdaryo Shahri	1538250
UZ.16.1538251	Shirin Shahri	Shirin Shahri	1538251
UZ.16.1538252	Yangiyer Shahri	Yangiyer Shahri	1538252
UZ.16.1538253	Bakht Shahri	Bakht Shahri	1538253
UZ.12.1538254	Yangiyŭl Tumani	Yangiyul Tumani	1538254
UZ.14.1538256	Olmaliq Shahri	Olmaliq Shahri	1538256
UZ.14.1538257	Angren Shahri	Angren Shahri	1538257
UZ.14.1538258	Ohangaron Shahri	Ohangaron Shahri	1538258
UZ.14.1538259	Bekobod Shahri	Bekobod Shahri	1538259
UZ.14.1538260	Chirchiq Shahri	Chirchiq Shahri	1538260
UZ.14.1538261	Yangiobod Shahri	Yangiobod Shahri	1538261
UZ.06.1538272	Chortoq Tumani	Chortoq Tumani	1538272
UZ.01.1538281	Buloqboshi Tumani	Buloqboshi Tumani	1538281
UZ.01.1538282	Andijon Shahri	Andijon Shahri	1538282
UZ.01.1538283	Asaka Shahri	Asaka Shahri	1538283
UZ.01.1538284	Qorasuw Shahri	Qorasuw Shahri	1538284
UZ.01.1538285	Khonobod Shahri	Khonobod Shahri	1538285
UZ.01.1538286	Shahrikhon Shahri	Shahrikhon Shahri	1538286
UZ.03.1538294	Furqat Tumani	Furqat Tumani	1538294
UZ.03.1538295	So‘x Tumani	So`x Tumani	1538295
UZ.03.1538296	Farg‘ona Shahri	Farg`ona Shahri	1538296
UZ.03.1538297	Qo‘qon Shahri	Qo`qon Shahri	1538297
UZ.03.1538298	Quva Shahri	Quva Shahri	1538298
UZ.03.1538299	Quvasoy Shahri	Quvasoy Shahri	1538299
UZ.03.1538300	Marg‘ilon Shahri	Marg`ilon Shahri	1538300
UZ.03.7668818	Altyarik	Altyarik	7668818
UZ.03.7668819	Bagdad	Bagdad	7668819
UZ.03.7668820	Rishtan	Rishtan	7668820
UZ.01.7668830	Ulugnar	Ulugnar	7668830
UZ.02.7668831	Alat	Alat	7668831
UZ.08.7668833	Mirishkar	Mirishkar	7668833
UZ.10.7668834	Pastdargom	Pastdargom	7668834
UZ.16.7668840	Bayaut	Bayaut	7668840
UZ.03.7668842	Yazyavan	Yazyavan	7668842
UZ.08.8714362	Kamashi District	Kamashi District	8714362
UZ.08.8714363	Guzar District	Guzar District	8714363
UZ.07.8714365	Navbakhor Tumani	Navbakhor Tumani	8714365
UZ.10.9166490	Toyloq District	Toyloq District	9166490
UZ.06.11611821	Pap District	Pap District	11611821